Id,SalePrice
1461,126283.68644994487
1462,154041.36501068174
1463,175641.78873200572
1464,182978.7662352103
1465,202168.02283323018
1466,181849.21975313497
1467,164824.9001409018
1468,176631.6063895618
1469,185434.97371838457
1470,120598.61904421153
1471,193246.01547822976
1472,100058.56524153647
1473,105199.25296629801
1474,162907.6113604746
1475,153057.26037764654
1476,397016.8889325198
1477,252701.9001038627
1478,316921.9085520491
1479,246895.3436855971
1480,440801.89368975465
1481,303289.96238390077
1482,212691.7563713105
1483,174663.5157771977
1484,180844.95661869875
1485,173915.6447806971
1486,200536.42834298708
1487,329552.76664206194
1488,236542.4810388423
1489,202310.48647298056
1490,184983.43717370514
1491,193633.0941957778
1492,97117.11719480465
1493,173634.82637243235
1494,297718.5404515273
1495,300273.71167051705
1496,223614.8623019126
1497,194618.36508922823
1498,155246.66790296911
1499,154399.77778967936
1500,148871.36499460228
1501,177321.8888503722
1502,168381.45714969895
1503,301893.7508865426
1504,232580.62640389503
1505,215492.2960744915
1506,181523.79253358606
1507,209668.5632651378
1508,196332.18837056373
1509,168897.5385248023
1510,153042.48313813173
1511,155424.80723530368
1512,167519.2685390304
1513,161994.49059954277
1514,163491.00297780664
1515,174878.50398607182
1516,165045.46323791763
1517,150502.57471201068
1518,130974.14067682577
1519,223680.556052837
1520,140442.03685892982
1521,147061.55624133267
1522,166602.77692324526
1523,114334.23997174896
1524,123075.34508125737
1525,125527.99370503836
1526,128203.21630160046
1527,103328.5207311422
1528,124581.94657555342
1529,144141.56562959208
1530,162921.60702158068
1531,132173.88369494703
1532,110589.05451765005
1533,148603.9220206408
1534,114755.59916462749
1535,157266.4664467259
1536,118142.28879191354
1537,76894.84501355239
1538,190680.76011944024
1539,247725.21034230097
1540,112288.71503689373
1541,151879.99194831666
1542,144687.61055996284
1543,229607.3720792072
1544,82350.08466431157
1545,106002.0847174701
1546,122840.9691220453
1547,144498.35712262805
1548,136697.6440057879
1549,116438.41726555795
1550,146273.59655071425
1551,119796.53776113548
1552,145776.00593646264
1553,146298.74616549784
1554,111947.30771579675
1555,171577.25469438705
1556,99021.59603223203
1557,131854.00179663757
1558,94629.15220978661
1559,117424.73689385918
1560,153994.86616097327
1561,155289.75856365034
1562,126072.26814622243
1563,124505.7530975652
1564,161431.6583608628
1565,158475.52214427636
1566,218326.6964270033
1567,82131.20674719254
1568,210760.20153754743
1569,147882.5821798929
1570,122846.98108472594
1571,136623.78676011643
1572,144064.63665804346
1573,237699.82441369837
1574,120072.72650136334
1575,206085.82044225605
1576,205925.37231611725
1577,201757.02497277939
1578,156158.26342281277
1579,138518.8400143111
1580,195488.15207972552
1581,139051.56191698377
1582,130023.05646489539
1583,321689.15007395303
1584,242692.32218667856
1585,140991.4887251494
1586,74771.86051655431
1587,107874.10387416219
1588,150667.86338841423
1589,101074.75734502012
1590,135747.25610206585
1591,107247.26900191841
1592,122072.38948387283
1593,119708.94548431077
1594,140396.228748039
1595,120130.093779034
1596,233731.86044509828
1597,154819.10897329942
1598,185036.71549721283
1599,217021.47849794346
1600,198174.81028846
1601,81145.9007424936
1602,113166.7435552447
1603,98890.3026907663
1604,289003.4229741678
1605,252343.9477023607
1606,163418.84576921037
1607,167848.5918636658
1608,207532.7071141956
1609,195256.7534662602
1610,157598.4591903264
1611,149677.36695727348
1612,151549.82376359744
1613,168839.9144168994
1614,122420.51941859863
1615,91375.72372853337
1616,87661.82131794775
1617,93918.77094142702
1618,126134.8066363622
1619,130896.85458115916
1620,145070.83246322357
1621,135805.13843919092
1622,154706.84028517568
1623,283196.0433232952
1624,203892.8322516644
1625,127565.1910599311
1626,171645.3209638905
1627,184935.31103649433
1628,283045.30059324665
1629,178657.08823343247
1630,345017.90300933475
1631,217611.5953042067
1632,248583.88989366507
1633,168325.02162902462
1634,178088.9566951121
1635,179255.39280802885
1636,158777.51798298437
1637,167117.52751886463
1638,225588.16834283227
1639,177020.90117611096
1640,258536.8049061895
1641,182088.30362147788
1642,220505.27535745504
1643,230907.77661457783
1644,226405.46520255093
1645,176810.28786712195
1646,151272.67590863566
1647,164622.1191602119
1648,145067.66019592964
1649,139685.29300371054
1650,122320.4461579204
